elevation_deg,link_margin_db,hybrid_mcs
13.33185152256057,7.399733274060902,64-QAM
13.350744609913313,7.403134029784397,64-QAM
13.369637697266059,7.4065347855078905,64-QAM
13.388530784618805,7.409935541231385,64-QAM
13.407423871971549,7.413336296954879,64-QAM
13.426316959324295,7.416737052678373,64-QAM
13.44521004667704,7.420137808401867,64-QAM
13.464103134029784,7.423538564125361,64-QAM
13.48299622138253,7.426939319848856,64-QAM
13.501889308735274,7.430340075572349,64-QAM
13.52078239608802,7.433740831295843,64-QAM
13.539675483440766,7.437141587019338,64-QAM
13.55856857079351,7.440542342742832,64-QAM
13.577461658146255,7.443943098466326,64-QAM
13.596354745499,7.447343854189819,64-QAM
13.615247832851745,7.450744609913314,64-QAM
13.63414092020449,7.454145365636808,64-QAM
13.653034007557235,7.457546121360302,64-QAM
13.67192709490998,7.460946877083797,64-QAM
13.690820182262724,7.46434763280729,64-QAM
13.70971326961547,7.467748388530785,64-QAM
13.728606356968216,7.471149144254278,64-QAM
13.74749944432096,7.474549899977773,64-QAM
13.766392531673706,7.477950655701267,64-QAM
13.78528561902645,7.481351411424761,64-QAM
13.804178706379195,7.484752167148255,64-QAM
13.823071793731941,7.488152922871749,64-QAM
13.841964881084685,7.491553678595244,64-QAM
13.860857968437431,7.494954434318737,64-QAM
13.879751055790175,7.498355190042231,64-QAM
13.89864414314292,7.5017559457657255,64-QAM
13.917537230495666,7.50515670148922,64-QAM
13.93643031784841,7.508557457212714,64-QAM
13.955323405201156,7.511958212936208,64-QAM
13.974216492553902,7.515358968659703,64-QAM
13.993109579906646,7.518759724383196,64-QAM
14.012002667259392,7.52216048010669,64-QAM
14.030895754612136,7.525561235830184,64-QAM
14.049788841964881,7.528961991553679,64-QAM
14.068681929317627,7.532362747277173,64-QAM
14.087575016670371,7.535763503000666,64-QAM
14.106468104023117,7.539164258724161,64-QAM
14.12536119137586,7.542565014447655,64-QAM
14.144254278728607,7.545965770171149,64-QAM
14.163147366081352,7.549366525894643,64-QAM
14.182040453434096,7.552767281618137,64-QAM
14.200933540786842,7.556168037341632,64-QAM
14.219826628139586,7.559568793065125,64-QAM
14.238719715492332,7.56296954878862,64-QAM
14.257612802845077,7.566370304512114,64-QAM
14.276505890197821,7.569771060235608,64-QAM
14.295398977550567,7.5731718159591015,64-QAM
14.314292064903311,7.576572571682596,64-QAM
14.333185152256057,7.5799733274060905,64-QAM
14.352078239608803,7.583374083129584,64-QAM
14.370971326961547,7.586774838853078,64-QAM
14.389864414314292,7.590175594576573,64-QAM
14.408757501667036,7.593576350300067,64-QAM
14.427650589019782,7.5969771060235605,64-QAM
14.446543676372528,7.600377861747055,64-QAM
14.465436763725272,7.6037786174705495,64-QAM
14.484329851078018,7.607179373194043,64-QAM
14.503222938430763,7.610580128917537,64-QAM
14.522116025783507,7.613980884641031,64-QAM
14.541009113136253,7.617381640364526,64-QAM
14.559902200488997,7.620782396088019,64-QAM
14.578795287841743,7.624183151811513,64-QAM
14.597688375194489,7.6275839075350085,64-QAM
14.616581462547233,7.630984663258502,64-QAM
14.635474549899978,7.634385418981996,64-QAM
14.654367637252722,7.637786174705489,64-QAM
14.673260724605468,7.641186930428985,64-QAM
14.692153811958214,7.644587686152478,64-QAM
14.711046899310958,7.647988441875972,64-QAM
14.729939986663704,7.651389197599467,64-QAM
14.748833074016447,7.654789953322961,64-QAM
14.767726161369193,7.658190709046455,64-QAM
14.786619248721939,7.661591464769948,64-QAM
14.805512336074683,7.664992220493443,64-QAM
14.824405423427429,7.668392976216937,64-QAM
14.843298510780173,7.671793731940431,64-QAM
14.862191598132918,7.675194487663925,64-QAM
14.881084685485664,7.67859524338742,64-QAM
14.899977772838408,7.681995999110914,64-QAM
14.918870860191154,7.685396754834407,64-QAM
14.9377639475439,7.688797510557902,64-QAM
14.956657034896644,7.692198266281396,64-QAM
14.97555012224939,7.69559902200489,64-QAM
14.994443209602133,7.698999777728384,64-QAM
15.01333629695488,7.702400533451878,64-QAM
15.032229384307625,7.705801289175373,64-QAM
15.051122471660369,7.709202044898866,64-QAM
15.070015559013115,7.71260280062236,64-QAM
15.088908646365859,7.716003556345854,64-QAM
15.107801733718604,7.719404312069349,64-QAM
15.12669482107135,7.722805067792843,64-QAM
15.145587908424094,7.726205823516336,64-QAM
15.16448099577684,7.729606579239832,64-QAM
15.183374083129584,7.733007334963325,64-QAM
15.20226717048233,7.736408090686819,64-QAM
15.221160257835075,7.739808846410313,64-QAM
15.24005334518782,7.743209602133808,64-QAM
15.258946432540565,7.746610357857302,64-QAM
15.277839519893309,7.750011113580795,64-QAM
15.296732607246055,7.75341186930429,64-QAM
15.3156256945988,7.756812625027784,64-QAM
15.334518781951544,7.760213380751278,64-QAM
15.35341186930429,7.7636141364747715,64-QAM
15.372304956657034,7.767014892198266,64-QAM
15.39119804400978,7.7704156479217605,64-QAM
15.410091131362526,7.773816403645254,64-QAM
15.42898421871527,7.777217159368748,64-QAM
15.447877306068015,7.780617915092243,64-QAM
15.466770393420761,7.784018670815737,64-QAM
15.485663480773505,7.7874194265392305,64-QAM
15.504556568126251,7.790820182262725,64-QAM
15.523449655478995,7.7942209379862195,64-QAM
15.54234274283174,7.797621693709713,64-QAM
15.561235830184486,7.801022449433208,64-QAM
15.58012891753723,7.804423205156701,64-QAM
15.599022004889976,7.807823960880196,64-QAM
15.61791509224272,7.8112247166036894,64-QAM
15.636808179595466,7.814625472327184,64-QAM
15.655701266948212,7.8180262280506785,64-QAM
15.674594354300956,7.821426983774172,64-QAM
15.693487441653701,7.824827739497666,64-QAM
15.712380529006445,7.82822849522116,64-QAM
15.731273616359191,7.831629250944655,64-QAM
15.750166703711937,7.835030006668148,64-QAM
15.76905979106468,7.838430762391642,64-QAM
15.787952878417427,7.841831518115137,64-QAM
15.80684596577017,7.845232273838631,64-QAM
15.825739053122916,7.848633029562125,64-QAM
15.844632140475662,7.852033785285619,64-QAM
15.863525227828406,7.855434541009113,64-QAM
15.882418315181152,7.858835296732607,64-QAM
15.901311402533896,7.862236052456101,64-QAM
15.920204489886641,7.8656368081795955,64-QAM
15.939097577239387,7.86903756390309,64-QAM
15.957990664592131,7.872438319626584,64-QAM
15.976883751944877,7.875839075350077,64-QAM
15.995776839297623,7.879239831073572,64-QAM
16.014669926650367,7.882640586797066,64-QAM
16.033563014003114,7.88604134252056,64-QAM
16.052456101355858,7.8894420982440545,64-QAM
16.071349188708602,7.892842853967548,64-QAM
16.090242276061346,7.896243609691043,64-QAM
16.10913536341409,7.899644365414536,64-QAM
16.128028450766838,7.903045121138031,64-QAM
16.14692153811958,7.9064458768615244,64-QAM
16.16581462547233,7.909846632585019,64-QAM
16.184707712825073,7.913247388308513,64-QAM
16.203600800177817,7.916648144032007,64-QAM
16.22249388753056,7.920048899755501,64-QAM
16.241386974883305,7.923449655478995,64-QAM
16.260280062236053,7.926850411202489,64-QAM
16.2791731495888,7.930251166925984,64-QAM
16.298066236941544,7.933651922649478,64-QAM
16.316959324294288,7.937052678372972,64-QAM
16.335852411647032,7.940453434096465,64-QAM
16.354745498999776,7.94385418981996,64-QAM
16.373638586352524,7.947254945543454,64-QAM
16.392531673705268,7.950655701266948,64-QAM
16.411424761058015,7.954056456990442,64-QAM
16.43031784841076,7.957457212713937,64-QAM
16.449210935763503,7.9608579684374305,64-QAM
16.468104023116247,7.964258724160924,64-QAM
16.48699711046899,7.967659479884418,64-QAM
16.50589019782174,7.971060235607913,64-QAM
16.524783285174486,7.974460991331407,64-QAM
16.54367637252723,7.977861747054901,64-QAM
16.562569459879974,7.981262502778395,64-QAM
16.581462547232718,7.9846632585018895,64-QAM
16.600355634585462,7.988064014225383,64-QAM
16.61924872193821,7.991464769948878,64-QAM
16.638141809290953,7.994865525672371,64-QAM
16.6570348966437,7.998266281395866,64-QAM
16.675927983996445,8.00166703711936,64-QAM
16.69482107134919,8.005067792842855,64-QAM
16.713714158701933,8.008468548566348,64-QAM
16.732607246054677,8.011869304289842,64-QAM
16.751500333407424,8.015270060013336,64-QAM
16.77039342076017,8.01867081573683,64-QAM
16.789286508112916,8.022071571460325,64-QAM
16.80817959546566,8.025472327183818,64-QAM
16.827072682818404,8.028873082907312,64-QAM
16.845965770171148,8.032273838630807,64-QAM
16.864858857523892,8.035674594354301,64-QAM
